appliance_name,local_time,current_power,distance_ultrasonic,distance_bluetooth,distance_ultrawideband,user_presence_detected
lamp,2025-03-09 19:50:45,10169,0,0,0,1
lamp,2025-03-09 19:50:55,9984,0,0,0,1
lamp,2025-03-09 19:51:06,10225,0,0,0,1
lamp,2025-03-09 19:51:18,10366,0,0,0,1
lamp,2025-03-09 19:51:29,9987,0,0,0,1
lamp,2025-03-09 19:51:40,10106,0,0,0,1
lamp,2025-03-09 19:51:50,10289,0,0,0,1
lamp,2025-03-09 19:52:01,10096,0,0,0,1
lamp,2025-03-09 19:52:12,10030,0,0,0,1
lamp,2025-03-09 19:53:01,10020,0,0,0,1
lamp,2025-03-09 19:53:11,10133,0,0,0,1
lamp,2025-03-09 19:53:23,10365,0,0,0,1
lamp,2025-03-09 19:53:34,9904,0,0,0,1
lamp,2025-03-09 19:53:44,10082,0,0,0,1
lamp,2025-03-09 19:53:55,10014,0,0,0,1
lamp,2025-03-09 19:54:05,10199,0,0,0,1
lamp,2025-03-09 19:54:18,10074,0,0,0,1
lamp,2025-03-09 19:54:30,10024,0,0,0,1
lamp,2025-03-09 19:54:40,9841,0,0,0,1
lamp,2025-03-09 19:54:51,10064,0,0,0,1
lamp,2025-03-09 19:55:02,9780,0,0,0,1
lamp,2025-03-09 19:55:14,10143,0,0,0,1
lamp,2025-03-09 19:55:25,10235,0,0,0,1
lamp,2025-03-09 19:55:35,10088,0,0,0,1
lamp,2025-03-09 19:55:46,10007,0,0,0,1
lamp,2025-03-09 19:55:56,10255,0,0,0,1
lamp,2025-03-09 19:56:07,10066,0,0,0,1
lamp,2025-03-09 19:56:17,10173,0,0,0,1
lamp,2025-03-09 19:56:27,10032,0,0,0,1
lamp,2025-03-09 19:56:38,10215,0,0,0,1
lamp,2025-03-09 19:56:49,10179,0,0,0,1
lamp,2025-03-09 19:57:00,10207,0,0,0,1
lamp,2025-03-09 19:57:11,10318,0,0,0,1
lamp,2025-03-09 19:57:23,10157,0,0,0,1
lamp,2025-03-09 19:57:34,9903,0,0,0,1
lamp,2025-03-09 19:57:44,10173,0,0,0,1
lamp,2025-03-09 19:57:55,9780,0,0,0,1
lamp,2025-03-09 19:58:06,10030,0,0,0,1
lamp,2025-03-09 19:58:17,9947,0,0,0,1
lamp,2025-03-09 19:58:27,9668,0,0,0,1
lamp,2025-03-09 19:58:40,10281,0,0,0,1
lamp,2025-03-09 19:58:51,9975,0,0,0,1
lamp,2025-03-09 19:59:02,9969,0,0,0,1
lamp,2025-03-09 19:59:12,10032,0,0,0,1
lamp,2025-03-09 19:59:26,10221,0,0,0,1
lamp,2025-03-09 19:59:37,9997,0,0,0,1
lamp,2025-03-09 19:59:48,10033,0,0,0,1
lamp,2025-03-09 19:59:59,10026,0,0,0,1
lamp,2025-03-09 20:00:10,10259,0,0,0,1
lamp,2025-03-09 20:00:21,9805,0,0,0,1
lamp,2025-03-09 20:00:32,9950,0,0,0,1
lamp,2025-03-09 20:00:43,9934,0,0,0,1
lamp,2025-03-09 20:00:53,10194,0,0,0,1
lamp,2025-03-09 20:01:03,9641,0,0,0,1
lamp,2025-03-09 20:01:14,9839,0,0,0,1
lamp,2025-03-09 20:01:25,9993,0,0,0,1
lamp,2025-03-09 20:01:35,9953,0,0,0,1
lamp,2025-03-09 20:01:46,10268,0,0,0,1
lamp,2025-03-09 20:01:57,10033,0,0,0,1
lamp,2025-03-09 20:02:08,9801,0,0,0,1
lamp,2025-03-09 20:02:19,10089,0,0,0,1
lamp,2025-03-09 20:02:31,10057,0,0,0,1
lamp,2025-03-09 20:02:42,10259,0,0,0,1
lamp,2025-03-09 20:02:52,10472,0,0,0,1
lamp,2025-03-09 20:03:03,10107,0,0,0,1
lamp,2025-03-09 20:03:15,9996,0,0,0,1
lamp,2025-03-09 20:03:25,9737,0,0,0,1
lamp,2025-03-09 20:03:36,9923,0,0,0,1
lamp,2025-03-09 20:03:47,10161,0,0,0,1
lamp,2025-03-09 20:03:58,10452,0,0,0,1
lamp,2025-03-09 20:04:09,10138,0,0,0,1
lamp,2025-03-09 20:04:20,10244,0,0,0,1
lamp,2025-03-09 20:04:32,10103,0,0,0,1
lamp,2025-03-09 20:04:42,10320,0,0,0,1
lamp,2025-03-09 20:04:54,10435,0,0,0,1
lamp,2025-03-09 20:05:04,10467,0,0,0,1
lamp,2025-03-09 20:05:16,9952,0,0,0,1
lamp,2025-03-09 20:05:26,10299,0,0,0,1
lamp,2025-03-09 20:05:37,10250,0,0,0,1
lamp,2025-03-09 20:05:49,10084,0,0,0,1
lamp,2025-03-09 20:05:59,10198,0,0,0,1
lamp,2025-03-09 20:06:09,10190,0,0,0,1
lamp,2025-03-09 20:06:21,9963,0,0,0,1
lamp,2025-03-09 20:06:31,10275,0,0,0,1
lamp,2025-03-09 20:06:42,10324,0,0,0,1
lamp,2025-03-09 20:06:53,10328,0,0,0,1
lamp,2025-03-09 20:07:04,10097,0,0,0,1
lamp,2025-03-09 20:07:15,10284,0,0,0,1
lamp,2025-03-09 20:07:25,10751,0,0,0,1
lamp,2025-03-09 20:07:36,10208,0,0,0,1
lamp,2025-03-09 20:07:47,10286,0,0,0,1
lamp,2025-03-09 20:07:58,10608,0,0,0,1
lamp,2025-03-09 20:08:09,10325,0,0,0,1
lamp,2025-03-09 20:08:20,10452,0,0,0,1
lamp,2025-03-09 20:08:30,10126,0,0,0,1
lamp,2025-03-09 20:08:41,10313,0,0,0,1
lamp,2025-03-09 20:08:52,10000,0,0,0,1
lamp,2025-03-09 20:09:03,10124,0,0,0,1
lamp,2025-03-09 20:09:15,10359,0,0,0,1
lamp,2025-03-09 20:09:25,10184,0,0,0,1
lamp,2025-03-09 20:09:36,10229,0,0,0,1
lamp,2025-03-09 20:09:47,10326,0,0,0,1
lamp,2025-03-09 20:09:59,10414,0,0,0,1
lamp,2025-03-09 20:10:09,10135,0,0,0,1
lamp,2025-03-09 20:10:20,10216,0,0,0,1
lamp,2025-03-09 20:10:31,10347,0,0,0,1
lamp,2025-03-09 20:10:41,10225,0,0,0,1
lamp,2025-03-09 20:10:52,9865,0,0,0,1
lamp,2025-03-09 20:11:02,10271,0,0,0,1
lamp,2025-03-09 20:11:13,10322,0,0,0,1
lamp,2025-03-09 20:11:24,10379,0,0,0,1
lamp,2025-03-09 20:11:35,10190,0,0,0,1
lamp,2025-03-09 20:11:46,10198,0,0,0,1
lamp,2025-03-09 20:11:57,10182,0,0,0,1
lamp,2025-03-09 20:12:09,10363,0,0,0,1
lamp,2025-03-09 20:12:19,10358,0,0,0,1
lamp,2025-03-09 20:12:31,10201,0,0,0,1
lamp,2025-03-09 20:12:43,10188,0,0,0,1
lamp,2025-03-09 20:12:54,10132,0,0,0,1
lamp,2025-03-09 20:13:05,10185,0,0,0,1
lamp,2025-03-09 20:13:16,10304,0,0,0,1
lamp,2025-03-09 20:13:28,10112,0,0,0,1
lamp,2025-03-09 20:13:39,10430,0,0,0,1
lamp,2025-03-09 20:13:50,10256,0,0,0,1
lamp,2025-03-09 20:14:01,10017,0,0,0,1
lamp,2025-03-09 20:14:12,10030,0,0,0,1
lamp,2025-03-09 20:14:23,10290,0,0,0,1
lamp,2025-03-09 20:14:34,9941,0,0,0,1
lamp,2025-03-09 20:14:45,10384,0,0,0,1
lamp,2025-03-09 20:14:56,10131,0,0,0,1
lamp,2025-03-09 20:15:07,10071,0,0,0,1
lamp,2025-03-09 20:15:18,10157,0,0,0,1
lamp,2025-03-09 20:15:30,10174,0,0,0,1
lamp,2025-03-09 20:15:41,10167,0,0,0,1
lamp,2025-03-09 20:15:53,10267,0,0,0,1
lamp,2025-03-09 20:16:03,10181,0,0,0,1
lamp,2025-03-09 20:16:14,10210,0,0,0,1
lamp,2025-03-09 20:16:25,10280,0,0,0,1
lamp,2025-03-09 20:16:36,10077,0,0,0,1
lamp,2025-03-09 20:16:47,10282,0,0,0,1
lamp,2025-03-09 20:16:58,10162,0,0,0,1
lamp,2025-03-09 20:17:08,10522,0,0,0,1
lamp,2025-03-09 20:17:19,10113,0,0,0,1
lamp,2025-03-09 20:17:30,10345,0,0,0,1
lamp,2025-03-09 20:17:42,10087,0,0,0,1
lamp,2025-03-09 20:17:53,10314,0,0,0,1
lamp,2025-03-09 20:18:03,10397,0,0,0,1
lamp,2025-03-09 20:18:14,10378,0,0,0,1
lamp,2025-03-09 20:18:25,10271,0,0,0,1
lamp,2025-03-09 20:18:36,10078,0,0,0,1
lamp,2025-03-09 20:18:48,10171,0,0,0,1
lamp,2025-03-09 20:19:00,10489,0,0,0,1
lamp,2025-03-09 20:19:10,10257,0,0,0,1
lamp,2025-03-09 20:19:22,10262,0,0,0,1
lamp,2025-03-09 20:19:33,10223,0,0,0,1
lamp,2025-03-09 20:19:44,10248,0,0,0,1
lamp,2025-03-09 20:19:55,10124,0,0,0,1
lamp,2025-03-09 20:20:06,9938,0,0,0,1
lamp,2025-03-09 20:20:18,10077,0,0,0,1
lamp,2025-03-09 20:20:29,10401,0,0,0,1
lamp,2025-03-09 20:20:40,10303,0,0,0,1
